2025-12-09 08:25:59::error::/v1/api/patientRecord/createPatientRecord::aea4b1c4-db82-409e-882a-d21015803f45::handler-error::{"status":500,"message":"Conversation is not defined"}
2025-12-09 08:27:06::error::/v1/api/patientRecord/createPatientRecord::4de1aa0a-db60-4e3e-964b-cb05b6983d81::handler-error::{"status":403,"message":"Patient already exists"}
2025-12-09 11:38:49::error::/v1/api/user/readDoctorDetail/hello::2b8e0f03-fcb0-4370-983c-0a49ee3f7a0a::handler-error::{"status":404,"message":"Not Found Route"}
2025-12-09 11:38:50::error::/v1/api/user/readDoctorDetail/hello::348e9518-c568-4721-9be0-afbb807982ee::handler-error::{"status":404,"message":"Not Found Route"}
2025-12-09 11:40:11::error::/v1/api/user/readDoctorDetail/hello::51a5849e-1a17-4b88-bb9a-2d07c4f1a929::handler-error::{"status":404,"message":"Not Found Route"}
2025-12-09 11:40:11::error::/v1/api/user/readDoctorDetail/hello::71b623f4-d3e0-4a65-83d1-15c7691791de::handler-error::{"status":404,"message":"Not Found Route"}
2025-12-09 11:41:38::error::/v1/api/user/readDoctorDetail/hello::d2a7fb0d-f710-4173-aa8c-ac0441dc48d8::handler-error::{"status":500,"message":"doctorId is not defined"}
2025-12-09 11:41:38::error::/v1/api/user/readDoctorDetail/hello::b3cdfccc-9b17-4f4a-a96e-96fa6c685917::handler-error::{"status":500,"message":"doctorId is not defined"}
2025-12-09 11:41:52::error::/v1/api/user/readDoctorDetail/hello::4e6b3414-9f0a-42c6-a7df-48658406b03d::handler-error::{"status":500,"message":"doctorId is not defined"}
2025-12-09 11:41:52::error::/v1/api/user/readDoctorDetail/hello::9a7481bb-ee81-4843-a95e-277ae162051f::handler-error::{"status":500,"message":"doctorId is not defined"}
2025-12-09 11:42:16::error::/v1/api/user/readDoctorDetail/hello::36df9ae0-2a54-4c2f-b979-0631e44c2328::handler-error::{"status":500,"message":"doctorId is not defined"}
2025-12-09 11:42:16::error::/v1/api/user/readDoctorDetail/hello::1c7911c4-8ed8-4cbc-b89f-321011f0e3b0::handler-error::{"status":500,"message":"doctorId is not defined"}
2025-12-09 11:42:58::error::/v1/api/user/readDoctorDetail/hello::3639fcc7-c546-47d6-8ed5-5e2aeba3ac0a::handler-error::{"status":500,"message":"doctorId is not defined"}
2025-12-09 11:42:58::error::/v1/api/user/readDoctorDetail/hello::0723406f-4379-4150-a6b5-64db534846d8::handler-error::{"status":500,"message":"doctorId is not defined"}
2025-12-09 11:43:45::error::/v1/api/user/readDoctorDetail/hello::00fd25b6-88ce-4b31-9f26-8a3532012e71::handler-error::{"status":500,"message":"Cast to ObjectId failed for value \"hello\" (type string) at path \"_id\" for model \"User\""}
2025-12-09 11:43:45::error::/v1/api/user/readDoctorDetail/hello::876a110c-b022-4059-aa5d-92cc618f5856::handler-error::{"status":500,"message":"Cast to ObjectId failed for value \"hello\" (type string) at path \"_id\" for model \"User\""}
2025-12-09 11:43:48::error::/v1/api/user/readDoctorDetail/hello::520dbddb-2c34-48d5-a41d-0044fa806c19::handler-error::{"status":500,"message":"Cast to ObjectId failed for value \"hello\" (type string) at path \"_id\" for model \"User\""}
2025-12-09 11:43:48::error::/v1/api/user/readDoctorDetail/hello::d5ede315-180e-43b4-bdac-30dc796b63a6::handler-error::{"status":500,"message":"Cast to ObjectId failed for value \"hello\" (type string) at path \"_id\" for model \"User\""}
2025-12-09 11:45:40::error::/v1/api/user/readDoctorDetail/hello::533dab30-f4d2-4d41-bb7d-7327c89206d9::handler-error::{"status":500,"message":"Cast to ObjectId failed for value \"hello\" (type string) at path \"_id\" for model \"User\""}
2025-12-09 11:45:40::error::/v1/api/user/readDoctorDetail/hello::7b05b7e4-7ee9-4d81-8838-8f1b1c0fbe50::handler-error::{"status":500,"message":"Cast to ObjectId failed for value \"hello\" (type string) at path \"_id\" for model \"User\""}
